,Blood,Immune,Neurons,Vascular,Excluded,Oligos,Astrocytes,Ependymal
ENSMUSG00000040385,0,0,0,0,0.13304998664851,0,0,0
ENSMUSG00000040407,0,0,0,0,0,0,0,0
ENSMUSG00000040681,0,0,0,0,0,0,0,0.636500443931412
ENSMUSG00000040724,0,0,0,0,0,0,0,0
ENSMUSG00000040785,0,0,0,0,0,0,0,0
ENSMUSG00000040794,0,0,0,0,0,0,0,0
ENSMUSG00000040907,0,0,0,0,0,0,0,0
ENSMUSG00000040938,0,0,0,0,0,0,0,0
ENSMUSG00000041126,0,0,0,0.0804864162700529,0.166718158381519,0,0,0.570777666131645
ENSMUSG00000041235,0,0,0,0,0,0,0,0
ENSMUSG00000041329,0,0,0,0,0,0,2.04128062035454,0
ENSMUSG00000041378,0,0,0,2.15821355758188,0,0,0,0
ENSMUSG00000041607,0,0,0,0,1.52151172021022,3.31910153064906,0,0
ENSMUSG00000042032,0,0,0,0,0,0,0,0
ENSMUSG00000042045,0,0,0,0,0,0,0,0
ENSMUSG00000042182,0,0,0,0,0,0,0,0
ENSMUSG00000042453,0,0,0,0,0,0,0,0
ENSMUSG00000042675,0,0,1.04585982419112,0,0.902366410703584,0.320313065499695,0,0
ENSMUSG00000042682,0,0,0,0.980593503556858,1.29373530757127,1.33074933043338,0.928008861606233,0.343189798834218
ENSMUSG00000042712,0,0,0,0,0,0,0,0
ENSMUSG00000042750,0,0,0,0,0,0,0,0
ENSMUSG00000042757,0,0,0,0,0,0,0,0
ENSMUSG00000042834,0,0,0,0,0.371599703999221,0,0,0
ENSMUSG00000042846,0,0,0,0,0,0,0,0
ENSMUSG00000043419,0,0,0,0,0,0,0,0
ENSMUSG00000043496,0,0,0,0,0,0,0.719683071415237,0
ENSMUSG00000044067,0,0,0,0,0,0,0,0
ENSMUSG00000044165,0,0,0,0,0,0,0,0
ENSMUSG00000044288,0,0,0,0,0,0,0,0
ENSMUSG00000044349,0,0,0,0,0,0,0,0
ENSMUSG00000044629,0,0,0,0,0,0,0,0
ENSMUSG00000044681,0,0,0,0,0,0,0,0
ENSMUSG00000045038,0,0,0,0,0,0,0,0
ENSMUSG00000045136,0,0,0,0,0,0,0,0
ENSMUSG00000045589,0,0,0,0,0,0,0,0
ENSMUSG00000045777,0,0,0,0,0,0,0,0
ENSMUSG00000046432,0,0,0,0,0.13304998664851,0,0,0.688902103909115
ENSMUSG00000047181,0,0,0,0,0,0,0,0
ENSMUSG00000047261,0,0,0,0,0,0,0,0
ENSMUSG00000047496,0,0,0,0,0,0,0,0
ENSMUSG00000047547,0,0,0,0,0.291266860606148,0,0,0
ENSMUSG00000047617,0,0,0,0,0,0,0,0
ENSMUSG00000047842,0,0,0,0,0,0,0,0
ENSMUSG00000047945,0,0,0,0,0,0.725583816999316,0,0
ENSMUSG00000047976,0,0,0,0,0,0,0,0
ENSMUSG00000048332,0,0,0,0,0,0,0,0
ENSMUSG00000049232,0,0,0,0,0,0,0,0
ENSMUSG00000049265,0,0,0,0,0,0,0,0
ENSMUSG00000049313,0,0,0,0,0,0,0,0
ENSMUSG00000049422,0,0,1.24329361669649,0,0,0,0,2.46872615148586
ENSMUSG00000049775,1.62297153136316,4.23688100551131,1.08756965538694,3.9710881885673,2.1706368132886,2.77041730240761,2.28781185883526,1.30332995050704
ENSMUSG00000050071,0,0,0,0,0,0,0,0
ENSMUSG00000050663,0,0,0,0,0,0,0,0
ENSMUSG00000050708,1.65793956291155,3.4983419418121,1.13333715916939,2.29392505014487,1.90195742852729,2.12091032045234,1.72026857289241,1.20990849669945
ENSMUSG00000050953,0,0,0,0,0,0,0.886208897208542,0.636500443931412
ENSMUSG00000052305,0,0,0,0,0,0,0,0
ENSMUSG00000052373,0,0,0,0,0,0,0,0
ENSMUSG00000052584,0,0,0,0,0,0,0,0
ENSMUSG00000052684,0,0,0,0,0,0,0,1.25482634547953
ENSMUSG00000052727,0,0,0,0,0,0,0,0
ENSMUSG00000052837,0,1.10294685901253,0,0,0,0,0,0
ENSMUSG00000052889,0,0,0,0,0,0,0,0
ENSMUSG00000053192,0,0,0,0,0,0,0,0
ENSMUSG00000053560,0,0,0,0,0,0,0,0
ENSMUSG00000053819,0,0,0,0,0,0,0,0
