,Oligos,Excluded,Neurons,Vascular,Astrocytes,Ependymal,Immune,Blood
ENSMUSG00000042116,0,0,0,1.08336669461569,0,0,0,0
ENSMUSG00000042745,0,0,0,1.22948899716977,0,0,0,0
ENSMUSG00000042750,0,0,1.50068517858043,0,0,0,0,0
ENSMUSG00000042834,0,0,0,0,0,0,0,0
ENSMUSG00000043419,0,0,0.312779897713011,0,0,0,0,0
ENSMUSG00000043496,0,0,0,0,0,0,0,0
ENSMUSG00000044080,0.632654268284911,0.472346472403838,0,0,1.4451740512109,0,0,0
ENSMUSG00000044258,0,0,0,0.760129511724273,0,0,0,0
ENSMUSG00000044349,0,0,1.45804000174506,0,0,0,0,0
ENSMUSG00000044667,0,0,0,0,0,0,0,0
ENSMUSG00000044708,0.437485120618513,0.521103830294582,0,0,0.700858162266734,0,0,0
ENSMUSG00000044986,0,0,0,0,0,0,0,0
ENSMUSG00000045092,0,0,0,0,0,0,0,0
ENSMUSG00000045136,0,0,0,0,0,0,0,0
ENSMUSG00000045532,0,0,0,0,0,0,0,0
ENSMUSG00000045573,0,0,0,0,0,0,0,0
ENSMUSG00000045763,0,0,0,0,0,0,0,0
ENSMUSG00000046160,1.64014893745185,0.362553127383041,0,0,0,0,0,0
ENSMUSG00000046178,0,0,0,0,0,0,0,0
ENSMUSG00000046215,0,0,0,0,0,0,0,0
ENSMUSG00000046447,0,0.560233614950868,0,0,0,0,0,0
ENSMUSG00000046982,0,0,0,0,0,0,0,0
ENSMUSG00000047139,0,0,0,0,0,0.413895680524899,0,0
ENSMUSG00000047261,0,0,0,0,0,0,0,0
ENSMUSG00000047557,0,0,0,0,0,0,0,0
ENSMUSG00000047945,1.41744328449638,0.664576893364676,1.25823340238013,0,0,0,0,0
