,Neurons,Excluded,Oligos,Vascular,Ependymal,Immune,Blood,Astrocytes
ENSMUSG00000041313,0,0,0,0.641959475064833,0,0,0,0
ENSMUSG00000041329,0,0.929602536799682,0,0,0,0,0,3.51090450000982
ENSMUSG00000041378,0,0,0,3.0250617683409,0,0,0,0
ENSMUSG00000041423,0,0,0,0,0,0,0,0
ENSMUSG00000041515,0,0,0,0,0,0,0,0
ENSMUSG00000041598,0,0,0,0,0,0,0,0
ENSMUSG00000041607,1.35494716896515,4.58543873722477,5.27022985762597,1.89871154045975,1.37411646521876,2.13885563218333,2.09720422154318,2.77496091325322
ENSMUSG00000041889,0,1.49469681757711,1.92078748980192,0,0,0,0,0
ENSMUSG00000042099,0,0,0,0,0,0,0,0
ENSMUSG00000042116,0,0,0,1.09694918619075,0,0,0,0
ENSMUSG00000042249,0,0,0,0,0,0,0,0
ENSMUSG00000042613,0,0,0,0,0.612812641703374,0,0,0
ENSMUSG00000042745,0,0,0,1.48210071531418,0,0,0,0
ENSMUSG00000042750,2.08325503553653,0,0,0,0,0,0,0
ENSMUSG00000042757,0,0,0,0,0,0,0,0
ENSMUSG00000043388,1.499634111539,0,0,0,0,0,0,0
ENSMUSG00000043419,1.83670213605265,0,0,0,0,0,0,0
ENSMUSG00000043496,0,0,0,0,0,0,0,1.91313721007389
ENSMUSG00000044033,0,0,0,0,0,0,0,0
ENSMUSG00000044080,0,0,0,0,0,0,0,0
ENSMUSG00000044258,0,0,0,0,0,0,0,0
ENSMUSG00000044349,3.28421900375937,0,0,0,0,0,0,0
ENSMUSG00000045092,0,0,0,0,0,0,0,0
ENSMUSG00000045136,0,0,0,0,0,0,0,0
ENSMUSG00000045532,0,0,0,0,0,0,0,0
ENSMUSG00000045608,0,0,0,0,0,0,0,0
ENSMUSG00000045763,1.45150481698388,0,0,0,0,0,0,0
ENSMUSG00000046160,0,1.59732916623627,1.83235058582661,0,0,0,0,0
ENSMUSG00000046312,0,0,0,0,0,0,0,0
ENSMUSG00000046432,1.64298940983682,0,0,0,1.09808707043663,0,0,0
ENSMUSG00000046447,1.0774540240174,0,0,0,0,0,0,0
ENSMUSG00000047261,2.0980118037251,0,0,0,0,0,0,0
ENSMUSG00000047557,0,0,0,0,0,0,0,0
ENSMUSG00000047797,0,0.490552221573211,0.965873436860424,0,0,0,0,0
ENSMUSG00000048001,0,0,0,0,0,0,0,0
ENSMUSG00000048040,0,0,0,0,0,0,0,0
ENSMUSG00000048142,0.495078861616909,0,0,0,0,0,0,0
ENSMUSG00000048163,0,0,0,0,0,2.12556234978173,0,0
ENSMUSG00000048332,0,0,0,0,0,0,0,0
ENSMUSG00000048747,0,0,0,0,0,0,0,0
ENSMUSG00000048978,1.06506692915599,0,0,0,0,0,0,0
ENSMUSG00000049422,2.21081396755259,0.6592900927448,0,0,3.47011444361773,0,0,2.04463712087909
ENSMUSG00000049775,2.87659908388944,3.90831518522343,4.35275936822971,5.41891099413091,2.4475284569006,5.82309282671494,4.6185754642707,1.53577202186409
ENSMUSG00000050121,0,0.884570670730286,1.24094740448136,0,0,0,0,0
ENSMUSG00000050212,0,0,0,0.944456472793613,0,0,0,0
ENSMUSG00000050711,0.726000895536031,0,0,0,0,0,0,0
ENSMUSG00000050732,0,0,0,0,0,0,0,0
ENSMUSG00000050953,0,0,0,0,0.612812641703374,0,0,2.57110061013049
ENSMUSG00000051391,1.86213267091652,0.504439535168238,0,0,0,0,0,0
ENSMUSG00000051439,0,0,0,0,0,0,0,0
ENSMUSG00000051504,0,0,0,0,0,0,0,0
ENSMUSG00000051515,0,0,0,0,0,0,0,0
ENSMUSG00000051910,0,0,0,0,0,0,0,0
