d0	d2	d4	d7
Mcm6	2.00487455427852	2.5112201300787	2.31283394088572	1.51441333667368
Mcm7	1.90069857970875	3.05473127981619	2.80991329776357	1.29077495670281
Mcmdc2	2.32205472575127	2.54225792242844	2.21776776156082	2.09351600886773
Mdk	0.683182398038496	2.80852205430989	2.58007699067077	1.90689620439442
Mdm2	0.968881079871605	0	0	2.11811609092937
Meg3	1.8732861988992	2.50481976479009	2.24691310331825	1.64341104514908
Mfsd11	2.46658054365928	4.46828752763846	3.25610035475167	1.70189291300498
Mgl2	2.12075881910859	3.20643197061364	2.37457581318535	0.920001955581856
Mid1	2.51370769875301	2.66240306803363	2.99161281007912	2.80564635432089
Mid1ip1	1.86158508596225	0	0	2.92084814813745
Milr1	2.15504831230459	1.51164231118516	0	1.57068315654567
Mir690	2.6027039037354	2.16159751427671	0	0.480303028617961
Mir692-2b	2.3798544590534	2.49501985835507	0	3.27707962585188
Mir692-3	2.3798544590534	2.49501985835507	0	3.27707962585188
Mkrn1	2.64255024630555	3.48212574375483	2.12159501960523	0.665185988957576
Mmp19	1.98694198583279	1.59596309335075	0	1.92885117386985
Moap1	1.81146242354881	0	0	1.68852683578613
Morf4l2	1.80040140184976	2.03400268379416	2.41177003107368	2.18324032788413
Mpv17l	2.58479135239948	4.88467945789553	3.12827234566709	1.85995725139838
