,alpha,ductal,endothelial,delta,acinar,beta,unclear,gamma,mesenchymal,epsilon
PDK3,2.5968095554523,0,0,0,1.00141187054396,1.58873426750377,0,2.00637582948719,1.00141187054396,0
PDK4,3.61392337716269,1.00141187054396,0,1.58873426750377,1.58873426750377,1.00141187054396,1.29507306902387,2.5968095554523,1.00141187054396,0
PDLIM1,1.58873426750377,3.48549800542213,2.3310113247995,1.00141187054396,3.01747376435913,1.58873426750377,2.5968095554523,0,3.01747376435913,2.00637582948719
PDX1,0,1.00141187054396,0,2.00637582948719,1.00141187054396,3.34511411240253,1.00141187054396,0,0,0
PDZK1IP1,0,2.00637582948719,0,0,3.1902461228973,0,0.500705935271981,0,0,0
PEG10,3.34511411240253,1.58873426750377,0,3.1902461228973,1.00141187054396,2.5968095554523,2.06554207036088,4.297494697513,1.00141187054396,3.94461184479151
PEMT,1.58873426750377,0,0,0,0,1.00141187054396,0,0,0,0
PFKFB2,0,0,0,0,0,2.82200215555242,1.29507306902387,0,0,0
PFN2,3.48549800542213,2.00637582948719,1.00141187054396,3.34511411240253,2.00637582948719,3.84214376653737,1.95987279615163,2.00637582948719,3.1902461228973,1.58873426750377
PGR,2.00637582948719,0,0,1.00141187054396,0,1.00141187054396,0,2.00637582948719,0,0
PHLDA1,0,1.58873426750377,0,0,2.82200215555242,0,2.09582899672063,0,4.04066547433843,0
PLA2G1B,0,0,0,0,6.59874517084375,0,0,0,0,0
PLCE1,2.3310113247995,0,0,0,0,0,0.500705935271981,0,0,0
PLCXD3,2.00637582948719,0,0,1.00141187054396,0,3.01747376435913,0,1.58873426750377,0,0
PLIN3,2.00637582948719,1.58873426750377,1.00141187054396,0,1.58873426750377,0,1.79755504849548,1.00141187054396,2.3310113247995,1.00141187054396
PLK2,2.82200215555242,1.00141187054396,1.00141187054396,1.58873426750377,1.00141187054396,1.00141187054396,0.500705935271981,1.58873426750377,1.00141187054396,0
PLOD2,1.58873426750377,1.58873426750377,1.00141187054396,1.00141187054396,2.3310113247995,2.00637582948719,1.79911071299813,1.00141187054396,4.21651357227149,0
PLP2,2.3310113247995,1.58873426750377,0,1.58873426750377,2.3310113247995,1.58873426750377,1.58873426750377,1.00141187054396,1.00141187054396,1.00141187054396
PMEPA1,0,3.73230829087369,4.37448516703409,0,1.00141187054396,0,1.67255705620126,0,4.297494697513,0
PNLIP,0,0,0,0,7.05282144198586,0,0,0,0,0
PNLIPRP2,0,0,0,0,4.82868858074601,0,0,0,0,0
PNMA2,2.3310113247995,0,0,2.5968095554523,0,2.3310113247995,0,2.00637582948719,0,2.00637582948719
