,A549,GM12878_B1,H1437,HCT116,IMR90,H1_B1,K562,GM12878_B2,H1_B2
MSH2,1.58007194445112,0,5.34411906961699,8.20294746256987,0,9.87461420875418,8.28640580437392,7.92732835548246,9.92601793264831
MSMO1,1.61959353214827,4.64968478783651,5.09902487726014,7.44352166590897,2.72000811729474,9.80247050578522,8.36808399270255,8.10858601267789,9.62372707367624
MTRNR2L10,8.87182307084779,9.33622197932031,9.1645371669068,8.86668587382232,7.99270422435604,0,9.11466929886458,8.76896881844134,8.56153738553477
MYH10,3.61118086383633,0,6.30002922846618,6.86557699601346,0,9.96612187006349,7.33174799345538,0,10.224461355322
MYO10,6.04154398693185,0,0,5.90173088062358,0,8.29038651925901,0,0,8.10697797647734
NCAPG,0,0,6.20066811338649,9.2989451616676,0,7.49823420076729,7.19369890894086,7.91320844259994,7.51268084905038
NDC1,0,0,5.26435108706901,8.12210447638054,0,7.70577715538031,7.33303726593007,7.57382600342483,8.4208997355896
NFIA,7.9008852383696,0,7.25123354261417,5.97488351358076,0,0,7.79391747045471,0,0
NFIB,9.40307706413464,0,6.32625044509422,4.52807347387836,0,6.61101696367372,0,0,7.04406107535073
NGFRAP1,8.84856992683401,0,7.70972039829483,8.02458108377678,10.4132172548362,10.1986127822747,0,0,9.92076737994668
NHSL1,0,0,4.69675316868645,3.39334450868717,0,8.11730038517502,0,7.26493160786529,8.42641253556871
NIF3L1,0,0,1.77624283881413,8.0707365352007,0,6.31084819447438,5.15619141865695,7.42876469788329,8.20253745792543
NOL11,7.67719571858699,0,7.91562113092401,10.46947195862,0,9.04103834330009,7.8500379750378,9.70928032080079,9.7493657792436
NOLC1,9.53138792677862,3.7666114555265,9.75498997197905,10.4151425461302,0,10.1704165971694,9.99490637819144,10.9082247444442,10.7861406697262
NOP16,7.82446518361095,0,6.78319253317932,9.74350445225551,0,8.48039248270123,9.38866397978139,9.09871685636672,8.62051662554198
NQO1,12.4347529760365,0,0,10.2349388581897,11.3643381608867,7.49511563508575,8.05039371709355,7.64828347368699,7.69555946205476
NQO2,0,0,0,7.12059521498732,0,7.66913011057201,7.58960987358336,0,7.52141359773935
NR3C1,8.97851864598208,9.6730582749145,3.75129892778085,1.83755661606097,2.07279400218774,0,4.3786230923021,8.97358288042233,0
NREP,0,0,0,0,3.34729664279996,9.63209429731122,0,5.77889692625811,9.91944879396908
NUDCD1,0.688877384872405,0,3.57022936617089,8.9769949294244,0,8.05457996667852,6.83773295577576,7.47548149470561,8.55079838027522
NUP54,0,0,3.94468050868513,7.99701400170304,0,8.17890244447888,7.3394860113518,7.36653302326959,8.65530300971618
OAT,9.94056473336711,0,6.2606722884072,10.025416468011,0,9.29896626871823,8.77444026968477,2.73097963363157,9.80789659263311
OCIAD2,6.66081110623644,2.72118403342484,0,6.94994112819853,0,7.80173372969766,0,7.60448287729949,8.00157994135385
